position, name, team, ab, avg, hr, obp, slg, bwar
C, Francisco Alvarez, New York Mets, 423,	209, 25, 284, 437, 1.0
1B, Pete Alonso, New York Mets, 658, 217, 46, 318, 504, 3.2
2B, Jeff McNeil, New York Mets, 648, 270, 10, 333, 378, 2.4
SS, Francisco Lindor, New York Mets, 687, 254, 31, 336, 470, 6.0
3B, Brett Baty, New York Mets, 389, 212, 9, 275, 323, -0.8
LF, Mark Canha, New York Mets, 507, 262, 11, 355, 400, 2.2
CF, Brandon Nimmo, New York Mets, 682, 274, 24, 363, 466, 3.9
RF, Sterling Marte, New York Mets, 341, 248, 5, 301, 324, -0.8
DH, Daniel Vogelbach, New York Mets, 319,	233, 13, 339, 404, 0.2
C, Gabriel Moreno, Arizona Diamondbacks, 380,	284, 7, 339, 408, 4.3
1B, Christian Walker, Arizona Diamondbacks, 661, 258, 33, 333, 497, 3.8
2B, Ketel Marte, Arizona Diamondbacks, 650, 276, 25, 358, 485, 4.9
SS, Geraldo Perdomo, Arizona Diamondbacks, 495, 246, 6, 353, 359, 2.3
3B, Evan Longoria, Arizona Diamondbacks, 237, 223, 11, 295, 422, 0.5
LF, Lourdes Gurriel Jr., Arizona Diamondbacks, 592, 261, 24, 309, 463, 3.0
CF, Alek Thomas, Arizona Diamondbacks, 402, 230, 9, 273, 374, 1.1
RF, Corbin Carroll, Arizona Diamondbacks, 645, 285, 25, 362, 506, 5.4
DH, Tommy Pham, Arizona Diamondbacks, 481, 256, 16, 328, 446, 1.5
C, Sean Murphy, Atlanta Braves, 438, 251, 21, 365, 478, 3.9
1B, Matt Olson, Atlanta Braves, 720, 283, 54, 389, 604, 7.4
2B, Ozzie Albies, Atlanta Braves, 660, 280, 33, 336, 513, 4.7
SS, Orlando Arcia, Atlanta Braves, 533, 264, 17, 321, 420, 1.6
3B, Austin Riley, Atlanta Braves, 715, 281, 37, 345, 516, 5.9
LF, Eddie Rosario, Atlanta Braves, 516, 255, 21, 305, 450, 1.1
CF, Michael Harris II, Atlanta Braves, 539, 293, 18, 331, 477, 3.4
RF, Ronald Acuna Jr., Atlanta Braves, 735, 337, 41, 416, 596, 8.2
DH, Marcell Ozuna, Atlanta Braves, 592, 274, 40, 346, 558, 3.3
C, Yan Gomes, Chicago Cubs, 419, 267, 10, 315, 408, 1.7
1B, Cody Bellinger, Chicago Cubs, 556, 307, 26, 356, 515, 4.4
2B, Nico Hoerner, Chicago Cubs, 688, 283, 9, 346, 383, 5.1
SS, Dansby Swanson, Chicago Cubs, 638, 244, 22, 328, 416, 4.8
3B, Nick Madrigal, Chicago Cubs, 294, 263, 2, 311, 352, 1.2
LF, Ian Happ, Chicago Cubs, 691, 248, 21, 360, 431, 3.0
CF, Mike Tauchman, Chicago Cubs, 401, 252, 8, 363, 377, 2.4
RF, Seiya Suzuki, Chicago Cubs, 583, 285, 20, 357, 485, 2.8
DH, Christopher Morel, Chicago Cubs, 429, 247, 26, 313, 508, 1.2
C, Tyler Stephenson, Cincinnati Reds, 517, 243, 13, 317, 378, 0.7
1B, Spencer Steer, Cincinnati Reds, 665, 271, 23, 356, 464, 2.9
2B, Jonathan India, Cincinnati Reds, 529, 244, 17, 338, 407, 1.4
SS, Matt McLain, Cincinnati Reds, 403, 290, 16, 357, 507, 3.7
3B, Elly De La Cruz, Cincinnati Reds, 427, 235, 13, 300, 410, 0.9
LF, Stuart Fairchild, Cincinnati Reds, 255, 228, 5, 321, 388, 0.5
CF, TJ Friedl, Cincinnati Reds, 556, 279, 18, 352, 467, 3.8
RF, Will Benson, Cincinnati Reds, 329, 275, 11, 365, 498, 1.6
DH, Christian Encarnacion-Strand, Cincinnati Reds, 241, 270, 13, 328, 477, 0.6
C, Elias Diaz, Colorado Rockies, 526,	267, 14, 316, 409, 1.4
1B, C.J. Cron, Colorado Rockies, 278, 248, 12, 295, 434, -0.6
2B, Harold Castro, Colorado Rockies, 270, 252, 1, 275, 314, -1.4
SS, Ezequiel Tovar, Colorado Rockies, 615, 253, 15, 287, 408, 2.5
3B, Ryan McMahon, Colorado Rockies, 627, 240, 23, 322, 431, 2.9
LF, Nolan Jones, Colorado Rockies, 424, 297, 20, 389, 542, 4.3
CF, Brenton Doyle, Colorado Rockies, 431, 203, 10, 250, 343, 0.9
RF, Kris Bryant, Colorado Rockies, 335, 233, 10, 313, 367, -1.0
DH, Charlie Blackmon, Colorado Rockies, 413, 279, 8, 363, 440, 1.3
C, Will Smith, Los Angeles Dodgers, 554, 261, 19, 359, 438, 4.1
1B, Freddie Freeman, Los Angeles Dodgers, 730, 331, 29, 410, 567, 6.5
2B, Mookie Betts, Los Angeles Dodgers, 693, 307, 39, 408, 579, 8.3
SS, Miguel Rojas, Los Angeles Dodgers, 423, 236, 5, 290, 322, 1.3
3B, Max Muncy, Los Angeles Dodgers, 579, 212, 36, 333, 475, 2.6
LF, David Peralta, Los Angeles Dodgers, 422, 259, 7, 294, 381, 0.6
CF, James Outman, Los Angeles Dodgers, 567, 248, 23, 353, 437, 3.3
RF, Jason Heyward, Los Angeles Dodgers, 377, 269, 15, 340, 473, 1.9
DH, J.D. Martinez, Los Angeles Dodgers, 479, 271, 33, 321, 572, 1.9
C, Nick Fortes, Miami Marlins, 323, 204, 6, 263, 299, -0.1
1B, Josh Bell, Miami Marlins, 617, 247, 22, 325, 419, 0.4
2B, Luis Arraez, Miami Marlins, 617, 354, 10, 393, 469, 4.9
SS, Jon Berti, Miami Marlins, 424, 294, 7, 344, 405, 2.4
3B, Jake Burger, Miami Marlins, 540, 250, 34, 309, 518, 2.5
LF, Bryan De La Cruz, Miami Marlins, 626, 257, 19, 304, 411, -0.3
CF, Jazz Chisholm Jr., Miami Marlins, 383, 250, 19, 304, 457, 1.2
RF, Jesus Sanchez, Miami Marlins, 402, 253, 14, 327, 450, 1.7
DH, Jorge Soler, Miami Marlins, 580, 250, 36, 341, 512, 1.8
C, William Contreras, Milwaukee Brewers, 611, 289, 17, 367, 457, 3.8
1B, Carlos Santana, Milwaukee Brewers, 619, 240, 23, 318, 429, 2.7
2B, Brice Turang, Milwaukee Brewers, 448, 218, 6, 285, 300, 1.6
SS, Willy Adames, Milwaukee Brewers, 638, 217, 24, 310, 407, 3.0
3B, Brian Anderson, Milwaukee Brewers, 361, 226, 9, 310, 368, 0.5
LF, Christian Yelich, Milwaukee Brewers, 632, 278, 19, 370, 447, 3.6
CF, Joey Wiemer, Milwaukee Brewers, 410, 204, 13, 283, 362, 0.9
RF, Tyrone Taylor, Milwaukee Brewers, 243, 234, 10, 267, 446, 0.5
DH, Mark Canha, Milwaukee Brewers, 507, 262, 11, 355, 400, 2.2
C, J.T. Realmuto, Philadelphia Phillies, 540,	252, 20, 310, 452, 3.6
1B, Bryce Harper, Philadelphia Phillies, 546, 293, 21, 401, 499, 3.7
2B, Bryson Stott, Philadelphia Phillies, 640, 280, 15, 329, 419, 4.3
SS, Trea Turner, Philadelphia Phillies, 691, 266, 26, 320, 459, 3.4
3B, Alec Bohm, Philadelphia Phillies, 611, 274, 20, 327, 437, 0.4
LF, Jake Cave, Philadelphia Phillies, 203, 212, 5, 272, 348, -0.2
CF, Brandon Marsh, Philadelphia Phillies, 472, 277, 12, 372, 458, 3.4
RF, Nick Castellanos, Philadelphia Phillies, 671, 272, 29, 311, 476, 1.5
DH, Kyle Schwarber, Philadelphia Phillies, 720, 197, 47, 343, 474, 0.6
C, Austin Hedges, Pittsburgh Pirates, 212, 184, 1, 234, 227, -1.1
1B, Carlos Santana, Pittsburgh Pirates, 619, 240, 23, 318, 429, 2.7
2B, Ji Hwan Bae, Pittsburgh Pirates, 371, 231, 2, 296, 311, -0.4
SS, Rodolfo Castro, Pittsburgh Pirates, 256, 211, 6, 297, 322, -0.5
